source_id,title,url,method,status,raw_path,captured_at,error
SRC-robotics-059,RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins,https://arxiv.org/abs/2504.13059,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-059-robotwin-dual-arm-robot-benchmark-with-generative-digital-twins.md,2026-06-04T06:08:12+00:00,
SRC-robotics-060,MimicGen: A Data Generation System for Scalable Robot Learning using Human Demonstrations,https://arxiv.org/abs/2310.17596,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-060-mimicgen-a-data-generation-system-for-scalable-robot-learning-using-human-demons.md,2026-06-04T06:08:12+00:00,
SRC-robotics-061,pi0: A Vision-Language-Action Flow Model for General Robot Control,https://www.physicalintelligence.company/download/pi0.pdf,pdf-download,exists,raw/robotics-embodied-ai/documents/SRC-robotics-061-pi0-a-vision-language-action-flow-model-for-general-robot-control.pdf,2026-06-04T06:08:12+00:00,
SRC-robotics-062,NVIDIA Isaac GR00T N1: An Open Foundation Model for Humanoid Robots,https://research.nvidia.com/publication/2025-03_nvidia-isaac-gr00t-n1-open-foundation-model-humanoid-robots,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-062-nvidia-isaac-gr00t-n1-an-open-foundation-model-for-humanoid-robots.md,2026-06-04T06:08:12+00:00,
SRC-robotics-063,RoboBrain 2.0 Technical Report,https://arxiv.org/abs/2507.02029,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-063-robobrain-2-0-technical-report.md,2026-06-04T06:08:12+00:00,
SRC-robotics-064,RoboMIND 2.0: A Multimodal Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence,https://arxiv.org/abs/2512.24653,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-064-robomind-2-0-a-multimodal-bimanual-mobile-manipulation-dataset-for-generalizable.md,2026-06-04T06:08:12+00:00,
SRC-robotics-065,Universal Manipulation Interface project page,https://umi-gripper.github.io/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-065-universal-manipulation-interface-project-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-066,Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,https://arxiv.org/abs/2402.10329,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-066-universal-manipulation-interface-in-the-wild-robot-teaching-without-in-the-wild.md,2026-06-04T06:08:12+00:00,
SRC-robotics-067,Universal Manipulation Interface GitHub repository,https://github.com/real-stanford/universal_manipulation_interface,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-067-universal-manipulation-interface-github-repository.md,2026-06-04T06:08:12+00:00,
SRC-robotics-068,UMI Robot Dataset Community,https://umi-data.github.io/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-068-umi-robot-dataset-community.md,2026-06-04T06:08:12+00:00,
SRC-robotics-069,Fast-UMI: A Scalable and Hardware-Independent Universal Manipulation Interface,https://arxiv.org/abs/2409.19499,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-069-fast-umi-a-scalable-and-hardware-independent-universal-manipulation-interface.md,2026-06-04T06:08:12+00:00,
SRC-robotics-070,UMI-3D: Extending Universal Manipulation Interface from Vision-Limited to 3D Spatial Perception,https://arxiv.org/abs/2604.14089,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-070-umi-3d-extending-universal-manipulation-interface-from-vision-limited-to-3d-spat.md,2026-06-04T06:08:12+00:00,
SRC-robotics-071,Actuated Version of the Universal Manipulation Interface Gripper,https://github.com/actuated-umi/actuated-umi-gripper,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-071-actuated-version-of-the-universal-manipulation-interface-gripper.md,2026-06-04T06:08:12+00:00,
SRC-robotics-072,TacUMI: A Multi-Modal Universal Manipulation Interface for Contact-Rich Tasks,https://arxiv.org/abs/2601.14550,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-072-tacumi-a-multi-modal-universal-manipulation-interface-for-contact-rich-tasks.md,2026-06-04T06:08:12+00:00,
SRC-robotics-073,In-the-Wild Compliant Manipulation with UMI-FT,https://arxiv.org/abs/2601.09988,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-073-in-the-wild-compliant-manipulation-with-umi-ft.md,2026-06-04T06:08:12+00:00,
SRC-robotics-074,MV-UMI: A Scalable Multi-View Interface for Cross-Embodiment Learning,https://arxiv.org/abs/2509.18757,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-074-mv-umi-a-scalable-multi-view-interface-for-cross-embodiment-learning.md,2026-06-04T06:08:12+00:00,
SRC-robotics-075,Dobb-E: On Bringing Robots Home,https://www.dobb-e.com/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-075-dobb-e-on-bringing-robots-home.md,2026-06-04T06:08:12+00:00,
SRC-robotics-076,GELLO: A General Low-Cost and Intuitive Teleoperation Framework for Robot Manipulators,https://arxiv.org/abs/2309.13037,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-076-gello-a-general-low-cost-and-intuitive-teleoperation-framework-for-robot-manipul.md,2026-06-04T06:08:12+00:00,
SRC-robotics-077,Mobile ALOHA: Learning Bimanual Mobile Manipulation with Low-Cost Whole-Body Teleoperation,https://arxiv.org/abs/2401.02117,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-077-mobile-aloha-learning-bimanual-mobile-manipulation-with-low-cost-whole-body-tele.md,2026-06-04T06:08:12+00:00,
SRC-robotics-078,Data Scaling Laws in Imitation Learning for Robotic Manipulation,https://arxiv.org/abs/2410.18647,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-078-data-scaling-laws-in-imitation-learning-for-robotic-manipulation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-079,Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,https://arxiv.org/abs/2303.04137,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-079-diffusion-policy-visuomotor-policy-learning-via-action-diffusion.md,2026-06-04T06:08:12+00:00,
SRC-robotics-080,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,https://arxiv.org/abs/2304.13705,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-080-learning-fine-grained-bimanual-manipulation-with-low-cost-hardware.md,2026-06-04T06:08:12+00:00,
SRC-robotics-081,北京经济技术开发区关于推动具身智能机器人创新发展的若干措施,https://kfqgw.beijing.gov.cn/zwgkkfq/2024zcwj/202508/t20250812_4171688.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-081-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-082,北京人形机器人创新中心具身智能数据训练基地,https://kw.beijing.gov.cn/xwdt/kcyx/xwdtscyqld/202507/t20250724_4156535.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-082-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-083,上海市具身智能产业发展实施方案,https://www.shanghai.gov.cn/nw12344/20250806/f9cb53544505426d807055ca20bd69fc.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-083-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-084,上海虚实融合具身智能训练场标准化试点,https://www.shanghai.gov.cn/nw15343/20251014/d0339346ade141b4a886722c3b3ed3af.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-084-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-085,深圳市加快打造人工智能先锋城市行动计划,https://stic.sz.gov.cn/gkmlpt/content/12/12052/mpost_12052515.html,defuddle,failed,raw/robotics-embodied-ai/documents/SRC-robotics-085-source.md,2026-06-04T06:08:12+00:00,Error: fetch failed; fallback HTML download failed: <urlopen error [SSL: BAD_ECPOINT] bad ecpoint (_ssl.c:1032)>
SRC-robotics-086,广东省人工智能赋能制造业高质量发展行动方案,https://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4787001.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-086-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-087,杭州市智能机器人产业强链补链行动方案政策解读,https://zfgb.hangzhou.gov.cn/15/101220263/t104220263014/530114.shtml,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-087-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-088,德清具身智能数据采集训练场,https://zjic.zj.gov.cn/zkdt/rdzx/202603/t20260326_24007563.shtml,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-088-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-089,安徽省智能机器人产业发展行动方案,https://www.tl.gov.cn/tlsrmzf/c000841/pc/content/content_1995691327649275904.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-089-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-090,IO-AI EmbodiFlow product page,https://io-ai.tech/zh/embodiflow/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-090-io-ai-embodiflow-product-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-091,腾讯云与 IO-AI 联合推出具身智能数据平台,https://developer.cloud.tencent.com/article/2635361,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-091-io-ai.md,2026-06-04T06:08:12+00:00,
SRC-robotics-092,Galaxea Open-World Dataset,https://huggingface.co/datasets/OpenGalaxea/Galaxea-Open-World-Dataset,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-092-galaxea-open-world-dataset.md,2026-06-04T06:08:12+00:00,
SRC-robotics-093,Psi Data embodied dexterous manipulation data,https://www.psibot.ai/products_zh/product_psi-data_zh/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-093-psi-data-embodied-dexterous-manipulation-data.md,2026-06-04T06:08:12+00:00,
SRC-robotics-094,GenRobot embodied intelligence data service,https://cn.genrobot.com/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-094-genrobot-embodied-intelligence-data-service.md,2026-06-04T06:08:12+00:00,
SRC-robotics-095,Oopsie Data manipulation failure dataset project,https://oopsie-data.com/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-095-oopsie-data-manipulation-failure-dataset-project.md,2026-06-04T06:08:12+00:00,
SRC-robotics-096,Oopsie Data format documentation,https://oopsie-data.com/format/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-096-oopsie-data-format-documentation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-097,LeRobot human-in-the-loop data collection documentation,https://github.com/huggingface/lerobot/blob/main/docs/source/hil_data_collection.mdx,direct-download,exists,raw/robotics-embodied-ai/documents/SRC-robotics-097-lerobot-human-in-the-loop-data-collection-documentation.md,2026-06-04T06:08:12+00:00,
